SYMBOL	adj.P.Val	P.Value	logFC
Exdl2	0.0811	0.00887282	0.66744
Map3k3	0.0644	0.00461568	0.667526
Tes	0.1669	0.04164706	0.669312
Map3k12	0.0791	0.00819997	0.669405
Tdpoz2	0.141	0.03024034	0.670076
1110001C20Rik	0.0763	0.00754874	0.670218
Tle2	0.1533	0.03550421	0.670423
Prpf3	0.0853	0.00991178	0.672027
Taf4a	0.0974	0.01341543	0.672273
Ipp	0.0803	0.00852683	0.672474
9130221H12Rik	0.072	0.00653426	0.673491
Src	0.1095	0.01762439	0.673632
Myt1l	0.1729	0.04462888	0.673811
Ctla4	0.0764	0.00759179	0.673817
AW538196	0.1024	0.01507495	0.674145
Zbtb7	0.1525	0.03518246	0.674664
2410193C02Rik	0.0994	0.01422816	0.675118
Pdlim2	0.1719	0.04418932	0.675603
E230022H04Rik	0.0974	0.01340549	0.675706
Mapk8ip1	0.1654	0.04104716	0.675837
1110019N10Rik	0.1641	0.04041563	0.675846
Ccdc59	0.0696	0.00597815	0.675929
Mllt1	0.0985	0.01392343	0.676491
Sox5	0.0833	0.00940949	0.676997
Pkp1	0.1496	0.03392576	0.677057
Yod1	0.1473	0.03273864	0.677181
0610025P10Rik	0.0998	0.01434212	0.677567
C1galt1	0.0598	0.00366584	0.677851
Six5	0.1408	0.03017092	0.678355
Ext1	0.0656	0.0049693	0.678394
D14Ertd668e	0.0746	0.00719881	0.678728
2610305D13Rik	0.1367	0.02842144	0.678807
Rab6	0.1299	0.02566586	0.678965
Zdhhc14	0.081	0.00878561	0.679844
Mllt11	0.1307	0.02614209	0.680005
Dstn	0.1604	0.03887979	0.68011
Casp4	0.1133	0.0192666	0.680164
D12Ertd748e	0.1373	0.02870411	0.680349
BC051080	0.0894	0.0109722	0.680449
AI606181	0.1559	0.03660492	0.680474
Socs4	0.0985	0.01397121	0.680987
Twsg1	0.1479	0.03304616	0.681328
Mpp5	0.0583	0.00338663	0.681543
Gemin4	0.0542	0.00266753	0.682376
Dus3l	0.0978	0.01355402	0.683062
Ift140	0.1458	0.03201889	0.683071
Refbp2	0.1155	0.01987345	0.683619
Yme1l1	0.1655	0.04113316	0.683981
Zfp334	0.0582	0.00334083	0.68399
BC049806	0.118	0.0208389	0.68437
Ube2d3	0.1396	0.02976427	0.684436
Apbb1	0.1445	0.03146097	0.685096
Zfp449	0.0975	0.01344351	0.685521
Ankrd12	0.106	0.01643136	0.685622
Slc27a6	0.1791	0.04789618	0.685829
D330037A14Rik	0.0727	0.00665681	0.68593
Dusp11	0.0662	0.00515919	0.686255
Evc2	0.1634	0.04011256	0.686885
Hmgn3	0.1479	0.03314276	0.687618
Drpla	0.0517	0.0023145	0.687776
Sertad2	0.107	0.01675821	0.688587
Traf7	0.0746	0.00722033	0.688918
Pou2f1	0.1127	0.01891319	0.689077
C330027I04Rik	0.177	0.04691168	0.689281
C85492	0.1793	0.0480302	0.689579
Rad17	0.0805	0.00869695	0.68981
2310067G05Rik	0.1035	0.01567413	0.690171
Bach2	0.1822	0.04959433	0.690263
Aoc3	0.1074	0.01689525	0.690419
Zfp238	0.1013	0.01479813	0.69043
Tbx22	0.1368	0.02852872	0.690824
2210417J20Rik	0.1525	0.03517546	0.691242
Olfr434	0.1385	0.02917343	0.691248
Per2	0.1127	0.01896105	0.691371
Ifi35	0.0766	0.0076559	0.691619
Tmem63a	0.0984	0.01374383	0.6923
Itpr1	0.1704	0.04349909	0.692574
Csda	0.1308	0.02619616	0.692898
Zfp27	0.0515	0.00225152	0.693127
Pvrl3	0.0954	0.0128554	0.693204
Copeb	0.1745	0.04559383	0.693804
3110004H13Rik	0.0743	0.00705378	0.69416
Tmem88	0.1396	0.02976345	0.694345
4931419P11Rik	0.1697	0.04317247	0.695487
Cstf3	0.111	0.01818344	0.695669
Pias3	0.1062	0.01652237	0.695941
Mbtd1	0.1813	0.04913209	0.69601
Rusc2	0.1203	0.0217553	0.696054
AW538196	0.1252	0.0237112	0.697993
Arl2bp	0.0779	0.00793257	0.698507
Pdgfrl	0.1276	0.02464414	0.698869
Zfp292	0.1181	0.02090428	0.699934
Usp21	0.1028	0.01540444	0.700429
AI842788	0.092	0.01175679	0.700573
AI854408	0.0927	0.01198985	0.701205
5730402C02Rik	0.1028	0.01532709	0.702322
6720467C03Rik	0.0849	0.00977877	0.70233
Mef2a	0.0744	0.00708974	0.702341
Olfr469	0.1359	0.02810623	0.703828
AI846148	0.0999	0.0144088	0.704152
Ttyh2	0.1125	0.01879382	0.704206
LOC381297	0.0702	0.00612082	0.70478
Zfp39	0.0506	0.00216863	0.707334
Ptprs	0.0758	0.0074231	0.707564
Pmaip1	0.076	0.00749532	0.707922
BC023818	0.085	0.00982828	0.707928
Mapk8	0.1331	0.0270815	0.708147
D030074E01Rik	0.1788	0.04778761	0.708346
Blr1	0.1491	0.03368294	0.708621
Inpp5f	0.0863	0.01014156	0.708904
2310037I24Rik	0.0886	0.0107957	0.709181
Fgf21	0.1332	0.02713047	0.709216
Slc25a38	0.0937	0.01220152	0.709663
Psip1	0.094	0.01235349	0.709915
5330440M15Rik	0.1545	0.03599368	0.709999
Stxbp4	0.0951	0.0127336	0.71029
Raly	0.0538	0.00254641	0.711965
1110001A05Rik	0.1321	0.02672195	0.712882
Phxr5	0.1198	0.02158534	0.713676
Rpl4	0.0689	0.00589926	0.714182
Sgtb	0.1272	0.02446306	0.715086
Tcfap2a	0.1671	0.0417367	0.717364
Zfp537	0.0863	0.01015504	0.717498
Narg2	0.1061	0.01649438	0.717644
Usp4	0.0759	0.0074501	0.717687
Rangnrf	0.0896	0.01107644	0.718367
6330404A07Rik	0.1696	0.04299788	0.718816
Kif17	0.0754	0.00734769	0.719117
Kcnc3	0.1709	0.04370226	0.719325
AI467484	0.148	0.03320672	0.719768
Chordc1	0.0832	0.00938462	0.720095
Rab11fip2	0.1483	0.03334399	0.720232
1500002I11Rik	0.0659	0.00502671	0.721396
Wdr13	0.0998	0.01434001	0.72219
Kpnb1	0.1475	0.03283715	0.72275
Rusc2	0.1231	0.02276454	0.722847
Adam11	0.1806	0.04863848	0.724051
Ap4m1	0.1343	0.02761981	0.72453
D19Ertd703e	0.1679	0.04208745	0.724683
AW046014	0.0584	0.00343306	0.72485
1110001A05Rik	0.122	0.02234105	0.724906
Gal3st3	0.1299	0.02575917	0.725064
Mbnl2	0.0584	0.00344292	0.725429
Adk	0.0752	0.00731504	0.72647
Rabep1	0.1197	0.02142706	0.726936
Zfp251	0.111	0.01813546	0.727643
AW061290	0.161	0.03920022	0.728697
Rnf135	0.1027	0.01521018	0.729362
Dsg2	0.0921	0.01179582	0.729383
Tbc1d10a	0.0948	0.01255556	0.729585
Zfp261	0.1688	0.04267639	0.729813
Ethe1	0.0766	0.00763858	0.7309
1110031B11Rik	0.0882	0.0106647	0.731436
Nme3	0.0612	0.00388207	0.731535
Iqsec2	0.1697	0.0431441	0.731941
Trim11	0.1033	0.01562787	0.732255
Wdr10	0.0478	0.00182428	0.732859
Acvrl1	0.057	0.00314497	0.732933
Slc4a3	0.1806	0.04867668	0.733188
1810045J01Rik	0.078	0.00797834	0.733821
Mettl3	0.0689	0.00586727	0.73466
Epn2	0.0612	0.00388526	0.734941
BC026370	0.1226	0.02258278	0.735151
Olfr1015	0.091	0.01139438	0.736215
6820449I09Rik	0.1138	0.01942211	0.73636
Vbp1	0.0704	0.00616443	0.736988
Ypel4	0.1653	0.04095605	0.737048
Il17rc	0.0621	0.00414767	0.737085
Shroom3	0.1239	0.02323287	0.738696
Rngtt	0.094	0.01234636	0.738763
9330140G23	0.1206	0.02189324	0.738787
Rhob	0.1165	0.0203125	0.738942
Col15a1	0.1697	0.04320038	0.739108
Dbp	0.0661	0.00508809	0.739845
2610016F04Rik	0.0549	0.00277417	0.740011
Hoxa13	0.0955	0.01289197	0.740091
2610033C09Rik	0.0648	0.00477805	0.740202
Pdcd10	0.0766	0.00764013	0.740693
Sirt6	0.1306	0.02610124	0.741215
Atp2a3	0.0863	0.0101349	0.741546
Tyms	0.1093	0.01748612	0.741848
BC051080	0.0729	0.00673371	0.741993
Gabpb2	0.0625	0.00431416	0.742064
Slc2a10	0.1819	0.04938022	0.742194
Zfp2	0.0654	0.00488019	0.742824
Cd9	0.0922	0.01184582	0.743666
2310038H17Rik	0.1607	0.03903015	0.743808
Rnf25	0.0486	0.00191488	0.744267
1110059E24Rik	0.0644	0.00463657	0.744858
Nthl1	0.0463	0.00167518	0.745382
1700019E19Rik	0.1149	0.01973461	0.74543
Dlgap4	0.0665	0.00528414	0.745555
Prkcd	0.0849	0.00977896	0.745948
Olfr965	0.1323	0.02682504	0.746345
LOC624855	0.1396	0.02980138	0.746762
1700029G01Rik	0.1089	0.01741834	0.746795
Epc2	0.1058	0.01637454	0.74755
Zfp119	0.1378	0.02884037	0.747562
3110050N22Rik	0.1698	0.04326284	0.747759
D330024H06Rik	0.1216	0.02221095	0.747855
9430015G10Rik	0.1024	0.01509735	0.748254
Fyco1	0.1764	0.04661815	0.748542
Epha3	0.1597	0.03841907	0.748717
Apg7l	0.0803	0.00856269	0.749528
Tnnt1	0.1238	0.02315897	0.749585
Spg4	0.0515	0.00222957	0.749967
Prrx1	0.0744	0.00710765	0.750146
Slc25a18	0.0904	0.01127168	0.751429
Pols	0.0913	0.01148771	0.751728
Ift81	0.1546	0.03613523	0.752311
Ndst1	0.0583	0.00342618	0.752775
C030048B08Rik	0.0662	0.0051393	0.753284
Rasl12	0.092	0.01174949	0.753975
Chn2	0.0771	0.00779077	0.75404
Mustn1	0.0743	0.00704064	0.755167
2810417J12Rik	0.116	0.02005193	0.755631
Sgcb	0.0946	0.01248184	0.755961
Dst	0.1533	0.03550945	0.756642
Efna5	0.0976	0.01347152	0.756764
Zbp1	0.1248	0.02352643	0.756775
Tmem20	0.1303	0.02598472	0.756881
Zfp94	0.0579	0.00330165	0.757419
Cst11	0.1276	0.02463319	0.757659
Purb	0.1198	0.02155825	0.75779
Pamci	0.0967	0.01320861	0.758398
Nfatc3	0.1224	0.02250854	0.759397
9330186A19Rik	0.1813	0.04910459	0.759546
Spna1	0.1129	0.01899832	0.759668
Unc13c	0.0985	0.01390309	0.760142
Shrm	0.1387	0.02928379	0.760234
F730047E07Rik	0.1095	0.01761404	0.761145
Atp8b1	0.1004	0.01459364	0.761457
Stk2	0.0985	0.01379128	0.761469
NE	0.1338	0.0274032	0.76162
Sv2a	0.0808	0.00874468	0.761703
Uhrf2	0.0641	0.00453513	0.761993
St5	0.1755	0.04621717	0.76262
Golga3	0.0563	0.00299548	0.763531
Itpk1	0.0834	0.00944299	0.763848
4932408F19Rik	0.0729	0.00672219	0.764035
Nfkbia	0.0566	0.00304302	0.764328
Stxbp5l	0.1315	0.02650154	0.764431
Zcchc9	0.0653	0.00485432	0.764661
Olfr13	0.0624	0.0042812	0.765379
Zfp68	0.0803	0.0085159	0.765842
Ube2g1	0.0669	0.00545364	0.766152
LOC545253	0.1177	0.02073489	0.766399
Cnp1	0.1494	0.03382459	0.766464
Crsp7	0.0754	0.00735456	0.766603
Egr1	0.0922	0.01184937	0.767308
Clcn2	0.1508	0.03451147	0.767714
Pbx1	0.1185	0.02101979	0.768793
Zfp75	0.15	0.03410964	0.768932
Ddit4l	0.0716	0.00646624	0.76949
Zdhhc1	0.0917	0.01168801	0.770073
2810012G03Rik	0.0579	0.00330259	0.770275
Klf16	0.0563	0.00300694	0.770509
Iap	0.1589	0.03803634	0.770541
Tpst1	0.0811	0.00884125	0.770575
Plekhe1	0.1546	0.03614202	0.771892
Bcor	0.1054	0.01622341	0.771955
Tsr2	0.1094	0.0175615	0.772429
Dcun1d2	0.0783	0.0080231	0.77323
Slc1a2	0.1249	0.02356984	0.774104
2810468K17Rik	0.0785	0.00807692	0.77453
Zfp551	0.1187	0.02106911	0.775218
2700097O09Rik	0.0768	0.00771175	0.776454
Eif4a2	0.0486	0.00194205	0.777501
Ube2g1	0.0506	0.00216449	0.777571
C330007D15Rik	0.0999	0.01441854	0.777772
Mcmdc1	0.1181	0.02087038	0.777992
Bin1	0.1351	0.02790938	0.778194
BC027174	0.1095	0.01758536	0.778656
C77668	0.0665	0.00523223	0.779026
Plekha3	0.1235	0.02301629	0.779699
Acin1	0.1087	0.01733292	0.780122
Ift81	0.105	0.01608031	0.78064
Uchl5	0.1113	0.01839927	0.780713
Scara5	0.0938	0.01222169	0.780889
Actl6	0.0563	0.00297045	0.781005
Ldb3	0.0743	0.0070445	0.781483
Nup43	0.1132	0.01921788	0.781753
Homer1	0.0687	0.00582207	0.782648
E2f5	0.1014	0.01482712	0.783061
Bbs2	0.1247	0.02349023	0.783628
Prpf40b	0.0421	0.00123954	0.784705
1190005I06Rik	0.122	0.02239251	0.784848
Fchsd2	0.0787	0.00810923	0.785134
Slc43a2	0.0858	0.01002904	0.785397
Espn	0.1479	0.03300433	0.785581
AI413414	0.108	0.01708039	0.785794
Dhx32	0.0778	0.00791023	0.786312
Ddc8	0.171	0.0437484	0.788122
1110067D22Rik	0.1687	0.0425861	0.788948
Cdkn1c	0.0627	0.00435524	0.789333
BC027556	0.0521	0.00236362	0.789732
Dcun1d4	0.0665	0.00528937	0.7903
5730509C05Rik	0.0495	0.00204944	0.79122
Mbnl2	0.0904	0.01126296	0.791557
Slc15a4	0.1174	0.02063852	0.791653
Hist2h3c1	0.1482	0.03327691	0.792052
Slc2a10	0.0424	0.00125817	0.792962
Chek2	0.0871	0.01036037	0.793073
Nt5c2	0.0709	0.00631327	0.79327
1110013L07Rik	0.1108	0.01804946	0.793324
Sdccag1	0.0446	0.00148757	0.793962
1810045K06Rik	0.1589	0.03802545	0.794025
Cdc6	0.1748	0.04576323	0.794373
Cited1	0.0612	0.00391197	0.795182
Actr3b	0.0902	0.01117504	0.795518
Olfr538	0.0987	0.01403038	0.795525
Thbs3	0.0974	0.01338321	0.795546
Magi1	0.1024	0.01508528	0.796107
Ptpre	0.0743	0.00706701	0.796298
Adam5	0.1793	0.04799901	0.796777
5830472H07Rik	0.0712	0.00637527	0.797993
Myd116	0.1296	0.02557486	0.798021
Zfp292	0.0729	0.00669217	0.798027
Ppie	0.0406	0.00115545	0.798981
Gng10	0.0618	0.00407945	0.801532
C85492	0.111	0.01821862	0.802713
Biklk	0.1002	0.01449078	0.802803
Myo9b	0.0486	0.00194362	0.802894
Dynll1	0.0849	0.00975104	0.802975
Pard6a	0.0522	0.00239122	0.803434
Rasa2	0.1682	0.04218832	0.804281
Psip1	0.056	0.00290541	0.804304
2810004A10Rik	0.0665	0.0052799	0.804484
2700094F01Rik	0.1252	0.0237335	0.8047
Tle4	0.0554	0.00285339	0.806169
D030015G18Rik	0.0931	0.01210189	0.807813
Osbpl10	0.0921	0.01180834	0.807922
Klhl7	0.111	0.01811408	0.809035
Wasf2	0.1082	0.01717714	0.809377
Idb3	0.094	0.0122718	0.809404
Treml4	0.0474	0.00173794	0.810392
Nudc-ps1	0.058	0.00331807	0.811295
Cdc37l1	0.067	0.00547796	0.811344
Trpc3	0.0912	0.01146265	0.812436
C130086A10	0.1564	0.03680424	0.812447
D10Ertd610e	0.0742	0.00702277	0.813582
Gatad1	0.0665	0.00522875	0.813761
Irs2	0.0951	0.01274178	0.814307
Avpi1	0.0384	0.00098097	0.815258
Znhit3	0.0382	0.00093187	0.815492
LOC545007	0.1291	0.02527002	0.815957
Rac3	0.1024	0.01503069	0.816483
5730458D16Rik	0.077	0.00775891	0.818325
Nfatc2ip	0.0425	0.00128763	0.819346
Ankrd25	0.136	0.02815087	0.819686
Wbp5	0.0637	0.00448102	0.820084
Ppm1d	0.0668	0.00541814	0.821525
Itgb1	0.0417	0.00122551	0.822634
A430106J12Rik	0.0644	0.00467124	0.82286
2900002H16Rik	0.1326	0.0269155	0.823767
Copg	0.0668	0.00536469	0.823813
Dync2li1	0.0805	0.00867396	0.824004
Atp2a2	0.1392	0.02955146	0.824106
Ddx6	0.1177	0.02073091	0.824644
Zfp128	0.067	0.00547477	0.8284
Pole4	0.0817	0.00901468	0.829469
Gm347	0.1299	0.02572568	0.830206
B230209C24Rik	0.116	0.02009777	0.83024
Crbn	0.0985	0.01380258	0.830688
Trim32	0.0583	0.00342669	0.830786
Odz3	0.1249	0.0235968	0.831684
Klf13	0.0383	0.00094256	0.832149
Svil	0.0738	0.00694427	0.832396
Camk2g	0.1165	0.02036555	0.832943
Trps1	0.0501	0.00212733	0.832947
Nr5a2	0.1129	0.01905246	0.833391
B230113M03Rik	0.0394	0.00107502	0.833526
Tbx3	0.0501	0.00211278	0.834396
Tsga2	0.1055	0.01630056	0.834545
Sytl4	0.1129	0.01905039	0.834548
6330500D04Rik	0.1116	0.0184983	0.835505
Ggn	0.1243	0.02335037	0.835669
LOC384100	0.0711	0.00635707	0.836903
Efs	0.0549	0.00276456	0.837631
Hsf1	0.0461	0.00165065	0.839076
Pacsin1	0.1683	0.04230457	0.840651
Myo9b	0.0477	0.00179792	0.840928
Olfr176	0.138	0.02892358	0.841213
1110019C08Rik	0.1468	0.03252863	0.841523
Rc3h1	0.0967	0.01322252	0.841784
Ift81	0.0746	0.0071993	0.841813
MGC30332	0.0876	0.01045934	0.841843
Usp54	0.057	0.00312418	0.842341
Dpt	0.048	0.00184728	0.842355
Dlx5	0.1303	0.02595949	0.842425
Olfr591	0.1683	0.04230147	0.842661
DXBwg1396e	0.1781	0.04735928	0.842757
Ddo	0.0517	0.00231111	0.843012
Pias1	0.0955	0.01288395	0.843463
Sh3bp5	0.1097	0.01768952	0.843519
Suhw4	0.054	0.00257951	0.844548
Arrdc2	0.1158	0.01999798	0.844917
Nhlrc2	0.0563	0.0030111	0.845196
Bcl6	0.0486	0.00191183	0.84548
Itga7	0.1049	0.01604724	0.845878
Nr2f1	0.0779	0.00795478	0.845994
D13Bwg1146e	0.1696	0.04303472	0.846216
Armcx1	0.0791	0.00823858	0.847614
Adora2a	0.0723	0.00656651	0.84792
Ppm1d	0.0646	0.00471235	0.848078
Slc24a3	0.0583	0.00342041	0.848234
Slk	0.0477	0.00176982	0.849303
Xrcc4	0.0501	0.00211752	0.849554
Nr1d2	0.0791	0.00826624	0.849667
Zhx1	0.0509	0.00218995	0.849735
Olfr297	0.1002	0.01448685	0.850075
2310079F23Rik	0.0373	0.0008753	0.850383
1110007C05Rik	0.0486	0.00192115	0.850557
Cbx7	0.1546	0.03607017	0.850746
5730403M16Rik	0.0542	0.00264362	0.850922
Pcolce2	0.1319	0.02666172	0.850941
Spag9	0.0697	0.00603556	0.851562
Qpct	0.1749	0.04591327	0.852401
Dmtf1	0.0852	0.0098928	0.852495
Cdc42ep3	0.1732	0.04483034	0.852675
4432405B04Rik	0.0443	0.0014377	0.852782
Otub2	0.1378	0.02883427	0.853194
Rbms3	0.0838	0.00949805	0.853207
2610318I18Rik	0.1197	0.02141055	0.853888
Zfp771	0.0609	0.00381975	0.854352
1700065O13Rik	0.0587	0.00347945	0.854426
Foxp2	0.1148	0.01967462	0.854564
Eppb9	0.0348	0.00066825	0.855162
Setd8	0.0737	0.00689835	0.855726
Dmn	0.0515	0.00226049	0.856192
9430063L05Rik	0.0637	0.00447083	0.856551
Cnga1	0.1081	0.01711107	0.857788
4930562C03Rik	0.055	0.00279334	0.857999
Kcnmb1	0.1507	0.0343923	0.858233
Dst	0.0811	0.00885077	0.859513
N6amt1	0.0563	0.00300098	0.861559
Arhgef2	0.0542	0.00269403	0.86197
Ppie	0.0785	0.00805041	0.863297
Cnot6l	0.0536	0.00252607	0.863785
Tnfrsf19l	0.0566	0.00304541	0.864908
Pdlim7	0.0779	0.00793562	0.865129
Cacna1h	0.0811	0.00882238	0.865401
Bcorl1	0.0711	0.00634537	0.865464
Cutl1	0.0621	0.00415964	0.865747
Rbpms	0.1436	0.03120012	0.866207
Ppp1r12c	0.1273	0.02452319	0.866833
1810043J12Rik	0.0622	0.00425531	0.867729
Olfm3	0.1269	0.02432145	0.86789
Fut10	0.1062	0.01651863	0.868152
4732465J09Rik	0.1233	0.02286646	0.868675
Jtv1	0.0542	0.0026737	0.868993
Gnl2	0.1003	0.01454686	0.869371
LOC245522	0.1143	0.01956423	0.869879
Slc13a3	0.1042	0.01585487	0.870461
Zfp37	0.067	0.00546494	0.870869
Zbtb2	0.0384	0.00097991	0.872619
Hist2h2bb	0.0488	0.00196798	0.872853
BC060632	0.1028	0.01538218	0.874192
Rps3a	0.0985	0.01381692	0.874285
Zfp295	0.0791	0.00826515	0.874654
Bdnf	0.0865	0.01020044	0.875133
1110004B13Rik	0.0788	0.00814787	0.875192
Il12a	0.0437	0.00140537	0.875209
Abcg4	0.1781	0.04741513	0.875365
8430438D04Rik	0.0685	0.00578161	0.875366
Atbf1	0.0554	0.0028597	0.875784
Tagln	0.0863	0.01015491	0.875925
Klf7	0.0387	0.00099976	0.876424
D430042O09Rik	0.1133	0.01924184	0.876701
Bteb1	0.0805	0.00864933	0.877718
C6	0.1745	0.04551484	0.879075
Matr3	0.0799	0.00838657	0.879504
AI849156	0.1237	0.02313408	0.880923
6720467C03Rik	0.0602	0.00372409	0.880962
6330415F13Rik	0.1389	0.0293552	0.881316
Nxt2	0.0663	0.00516514	0.881389
Ptpla	0.1003	0.01451667	0.88217
Gadd45g	0.1525	0.035128	0.882552
Rragb	0.0617	0.00404131	0.882874
Zgpat	0.0465	0.00168992	0.883746
Sca1	0.0644	0.00463187	0.884666
Zfp715	0.1132	0.01917773	0.8851
4930465K10Rik	0.1234	0.02294898	0.885836
Sgca	0.1489	0.03357344	0.887257
Prosc	0.1583	0.03753039	0.887293
Irx2	0.1684	0.0423424	0.887381
Sepx1	0.0859	0.01004213	0.88753
D330028D13Rik	0.1011	0.01475929	0.887986
Rsn	0.0583	0.00336988	0.889013
3230401D17Rik	0.077	0.00774901	0.88902
0610039J04Rik	0.0621	0.00421991	0.889078
C730027P07Rik	0.0852	0.00990006	0.889386
Chrnb4	0.0425	0.00127208	0.889449
Rpl21	0.0414	0.00120146	0.889735
Ctcfl	0.1125	0.01886659	0.890496
6330503C03Rik	0.0874	0.01040509	0.89073
Tbc1d9	0.0716	0.00645877	0.891349
Clk1	0.1387	0.02930657	0.891432
Theg	0.1645	0.04062681	0.891708
Laf4l	0.1525	0.03518662	0.892017
2310066N05Rik	0.1687	0.0425416	0.892188
Prosapip1	0.1249	0.02361808	0.892821
4930438O05Rik	0.1343	0.02761295	0.893401
Fgl2	0.1212	0.02208675	0.89384
Ntrk3	0.0818	0.00903408	0.89455
Rab22a	0.059	0.00353281	0.894595
Fzd2	0.1592	0.0381672	0.89594
Kcnn2	0.1134	0.01932304	0.895952
Tcfl4	0.15	0.03413777	0.896574
Rbpms	0.0915	0.01161353	0.89817
Ephb6	0.1408	0.03014757	0.8986
Epha3	0.1028	0.01532179	0.898665
D4Ertd429e	0.0357	0.00077362	0.899032
Olfr1500	0.1633	0.04004563	0.899765
Ndn	0.0373	0.0008731	0.899927
Ap4s1	0.0404	0.00114179	0.900787
Nfib	0.0707	0.00623269	0.901126
Nab1	0.0816	0.008971	0.901147
Syt11	0.1338	0.02739058	0.902396
1700088E04Rik	0.0529	0.00246942	0.902502
2700063G02Rik	0.0626	0.00433448	0.903119
Rab22a	0.0727	0.00664319	0.90363
Gadd45g	0.0867	0.01022924	0.903846
Napb	0.0868	0.01027255	0.90414
6030419C18Rik	0.0366	0.00081905	0.904458
Niban	0.1097	0.01770561	0.908351
Olfm1	0.0803	0.00854994	0.909171
Surb7	0.0339	0.00063309	0.909982
Ncl	0.0334	0.0005816	0.911132
Sntb2	0.0417	0.00122191	0.913147
Jtv1	0.0728	0.00667264	0.91345
Samd4	0.1233	0.02287911	0.914135
Kcnc1	0.0766	0.00762977	0.914997
Arih1	0.0617	0.00404526	0.915233
Arid5a	0.0732	0.00679174	0.915505
2810432L12Rik	0.0644	0.0046522	0.915594
Lgi1	0.1247	0.0235063	0.916032
Speer4d	0.0734	0.00682054	0.916895
Birc2	0.1025	0.01511275	0.91716
Zfhx1a	0.0748	0.00725047	0.917188
Csde1	0.0805	0.00869935	0.917226
0610025L06Rik	0.0515	0.00229553	0.917411
Mboat2	0.0821	0.00915502	0.918363
Tyro3	0.1197	0.02143087	0.918822
Cldn9	0.0886	0.01077838	0.9192
4933403H06Rik	0.1205	0.02183371	0.919208
Ptpn8	0.1228	0.02263788	0.919603
Tirap	0.1826	0.04984043	0.920828
Spint2	0.1662	0.04141017	0.922857
Ncl	0.0486	0.00192369	0.922992
Pdc	0.1541	0.03580371	0.925101
Mustn1	0.0685	0.00578334	0.925131
Casp12	0.0986	0.0139879	0.925454
2810453I06Rik	0.0484	0.00188464	0.925485
BC042901	0.0459	0.00156668	0.926685
Bmpr1a	0.131	0.02633914	0.927288
Eif2c3	0.0713	0.00638969	0.929829
Smarcd3	0.1033	0.01555795	0.931318
Lrfn3	0.0665	0.00525649	0.932048
2610016F04Rik	0.052	0.00235119	0.932606
Olfr786	0.1265	0.02423637	0.932746
2610007K22Rik	0.074	0.00698171	0.933965
Tgfb1i1	0.0921	0.01177933	0.934028
Ptk9	0.0515	0.00227787	0.934681
5330414D10Rik	0.087	0.01030434	0.934796
Gamt	0.0394	0.00109239	0.934928
1700113I22Rik	0.0788	0.00814013	0.935945
Nab1	0.0486	0.00193361	0.936018
Ccrl2	0.0662	0.00510205	0.937268
Chdc1	0.0805	0.00866285	0.937301
Elovl4	0.0927	0.0120132	0.937356
Rab3a	0.1793	0.04795782	0.937446
Hoxb2	0.0515	0.00228126	0.937883
Mbd5	0.0669	0.00544262	0.93854
Csf2rb1	0.0754	0.00735953	0.939009
Pard6a	0.0373	0.00085939	0.93915
Gpc1	0.0574	0.00323886	0.939561
Grp	0.0665	0.00527703	0.939666
Cnot4	0.1212	0.02208086	0.940697
Grem2	0.0685	0.00577923	0.942346
BC028975	0.0982	0.01370486	0.94256
E4f1	0.0389	0.00102386	0.942987
Lyar	0.0621	0.00417755	0.944504
Actn3	0.129	0.02517516	0.944729
Plekhg3	0.0714	0.00640784	0.944844
Adam6	0.0923	0.01189623	0.945669
Slc26a6	0.0857	0.01000897	0.948169
Dpysl3	0.0573	0.00322098	0.948752
Fkbp7	0.0791	0.00820132	0.949895
Snx16	0.0817	0.00901623	0.95048
H13	0.0958	0.01300126	0.950737
Cdh6	0.1391	0.02944265	0.95098
Tex9	0.0946	0.01248195	0.951042
Robo1	0.1639	0.04031494	0.951827
Phtf2	0.0919	0.01172255	0.952081
Zfp68	0.0697	0.00602321	0.952587
Atoh8	0.1684	0.04234863	0.953528
Per1	0.1671	0.04171685	0.954623
Car11	0.0697	0.00604855	0.954711
1110008J03Rik	0.1605	0.03891948	0.955978
Rdh5	0.0685	0.00576626	0.956224
5730466H23Rik	0.0616	0.00399745	0.956785
Cdr2	0.0762	0.00751778	0.957207
BC023818	0.0609	0.0038288	0.957547
Hipk3	0.1556	0.03644805	0.957692
Pfdn4	0.0357	0.00077548	0.958397
Dek	0.0817	0.00900664	0.958776
Dph2	0.1299	0.02572602	0.959127
4833426J09Rik	0.0463	0.00166842	0.959285
Slc39a3	0.091	0.01140088	0.960558
BC005624	0.0865	0.01020388	0.960713
Pknox2	0.0697	0.00604374	0.960975
2610040E16Rik	0.1755	0.04623203	0.962155
Ccdc95	0.0383	0.0009653	0.962281
Pcnxl3	0.1387	0.0292857	0.96239
Emb	0.0552	0.00282281	0.962617
Ccl27	0.1095	0.01761388	0.963145
Kpna3	0.0655	0.00494098	0.963838
Itm1	0.0484	0.00187622	0.963848
Khdrbs3	0.0891	0.01092933	0.96419
Ap1m2	0.0819	0.00906844	0.964486
Il17d	0.0871	0.01034231	0.965344
Magoh	0.0436	0.00139245	0.965389
Bat4	0.0457	0.00155683	0.965765
Cfh	0.0515	0.00229283	0.966322
